s,o,h,l,c,v,t
ok,150.44,150.44,150.44,150.44,10,1520726400
ok,153.38,153.38,153.38,153.38,10,1522886400
ok,156.32,159.26,156.32,159.26,20,1523145600
ok,162.2,165.14,162.2,165.14,20,1523232000
ok,168.08,171.02,168.08,171.02,20,1523318400
ok,173.96,177.39,173.96,177.39,20,1523404800
ok,180.82,184.25,180.82,184.25,20,1523491200
ok,184.25,191.11,187.68,191.11,20,1523750400
ok,194.54,201.89,194.54,201.89,30,1524441600
ok,211.69,211.69,211.69,215.61,20,1525564800
ok,211.69,219.53,215.61,219.53,20,1525824000
ok,219.53,232.27,223.45,232.27,40,1525910400
ok,236.68,236.68,236.68,236.68,20,1526256000
ok,243.54,255.3,243.54,255.3,50,1526774400
ok,260.2,260.2,260.2,260.2,10,1526860800
ok,260.2,272.94,272.94,272.94,10,1527120000
ok,278.33,294.5,278.33,294.5,40,1528588800
ok,300.38,300.38,300.38,300.38,10,1528848000
ok,306.26,318.02,306.26,318.02,30,1529193600
ok,323.9,323.9,323.9,323.9,10,1530057600
ok,330.27,330.27,330.27,330.27,10,1530144000
ok,336.65,336.65,336.65,336.65,10,1530576000
ok,343.02,343.02,343.02,343.02,10,1530748800
ok,349.88,349.88,349.88,349.88,10,1531008000
ok,367.03,373.89,367.03,373.89,20,1531353600
ok,392.51,400.35,392.51,400.35,20,1531612800
ok,408.19,408.19,408.19,408.19,10,1532217600
ok,428.28,448.86,428.28,448.86,70,1532476800
ok,457.68,457.68,457.68,457.68,10,1532563200
ok,480.22,503.25,480.22,503.25,70,1533513600
ok,528.24,553.23,528.24,553.23,110,1533600000
ok,580.68,608.12,580.68,608.12,360,1533686400
ok,638.5,668.88,558.63,560.1,8017,1533772800
ok,549.31,549.31,504.23,504.23,80,1534032000
ok,494.43,494.43,454.25,454.25,120,1534118400
ok,445.43,454.25,409.17,445.92,2210,1534204800
ok,437.1,445.43,428.77,442.49,1090,1534291200
ok,443.47,453.27,436.12,439.06,1330,1534377600
ok,431.22,431.22,423.38,423.38,570,1534636800
ok,416.52,416.52,399.37,403.29,750,1534723200
ok,399.37,400.35,387.61,397.9,430,1534809600
ok,392.02,399.37,392.02,393.98,430,1534896000
ok,401.82,401.82,388.1,388.1,240,1534982400
ok,381.73,389.08,380.75,387.12,665,1535241600
ok,382.22,386.14,376.83,386.14,1087,1535414400
ok,378.79,392.02,378.3,392.02,910,1535500800
ok,392.02,401.82,392.02,397.41,344,1535587200
ok,399.37,399.37,384.18,393.0,479,1535846400
ok,400.84,414.07,393.0,401.82,950,1535932800
ok,409.66,409.66,394.47,396.92,100,1536019200
ok,399.37,411.13,398.88,398.88,830,1536105600
ok,401.82,416.52,401.82,402.8,1540,1536192000
ok,395.45,402.8,395.45,396.92,130,1536451200
ok,396.92,435.14,396.92,435.14,1717,1536537600
ok,442.0,450.82,432.2,432.2,1590,1536624000
ok,448.37,448.37,432.69,443.47,560,1536710400
ok,434.65,443.47,434.65,436.12,80,1536796800
ok,436.12,441.02,427.79,441.02,200,1537056000
ok,432.69,432.69,432.2,432.69,40,1537142400
ok,440.53,440.53,424.36,428.77,214,1537228800
ok,428.77,428.77,421.91,423.87,80,1537401600
ok,422.89,435.14,418.97,427.3,320,1537660800
ok,435.63,435.63,435.14,435.63,40,1537833600
ok,427.3,427.3,418.97,421.91,70,1537920000
ok,421.91,430.73,421.42,421.42,175,1538006400
ok,417.5,417.5,403.78,411.62,200,1538265600
ok,420.44,420.44,405.25,405.25,160,1538352000
ok,405.25,411.13,400.35,400.35,110,1538438400
ok,393.0,406.72,393.0,399.86,170,1538524800
ok,392.51,409.66,392.51,402.31,1000,1538611200
ok,410.15,410.15,394.96,410.15,870,1538870400
ok,402.31,410.15,395.94,401.82,300,1538956800
ok,394.47,398.88,393.0,393.49,210,1539043200
ok,392.02,392.51,387.61,392.51,130,1539129600
ok,392.02,396.92,387.12,396.92,190,1539216000
ok,392.51,404.76,392.51,396.92,330,1539475200
ok,389.57,393.49,389.57,393.49,70,1539561600
ok,393.49,393.49,373.4,373.89,150,1540771200
ok,368.5,375.85,368.5,369.97,160,1540857600
ok,363.11,365.07,354.78,357.23,813,1540944000
ok,357.23,369.97,357.23,369.97,1067,1541030400
ok,362.62,366.54,359.68,360.17,90,1541289600
ok,360.17,373.89,360.17,368.01,183,1541376000
ok,364.09,370.95,357.23,370.95,80,1542153600
ok,370.95,370.95,363.6,363.6,150,1542240000
ok,363.6,367.52,342.53,342.53,150,1542499200
ok,342.53,343.02,337.14,338.61,80,1542585600
ok,338.61,338.61,335.67,338.12,110,1542672000
ok,338.12,344.49,334.2,336.16,80,1542758400
ok,336.16,338.12,325.86,331.74,130,1542844800
ok,331.74,331.74,316.06,318.51,90,1543104000
ok,318.51,318.51,312.14,312.14,100,1543190400
ok,312.14,312.14,308.71,309.2,620,1543276800
ok,309.2,313.61,309.2,310.18,90,1543363200
ok,310.18,313.61,304.3,308.71,260,1543449600
ok,308.71,308.71,302.83,308.71,640,1543708800
ok,308.71,319.0,306.75,306.75,220,1543795200
ok,306.75,306.75,292.05,292.05,100,1543881600
ok,275.39,275.39,265.1,270.0,70,1544054400
ok,270.0,280.78,270.0,280.78,180,1544313600
ok,280.78,281.76,280.78,281.76,30,1544400000
ok,281.76,286.66,281.76,286.66,140,1544486400
ok,286.66,286.66,284.21,284.21,40,1544572800
ok,284.21,289.11,284.21,289.11,10,1544659200
ok,289.11,299.89,288.13,299.89,70,1544918400
ok,299.89,323.41,294.01,323.41,130,1545004800
ok,323.41,333.71,320.96,328.31,430,1545091200
ok,328.31,328.31,321.94,323.9,50,1545177600
ok,323.9,323.9,317.53,317.53,290,1545264000
ok,317.53,333.22,308.71,333.22,200,1545523200
ok,333.22,333.22,328.31,332.24,200,1545609600
ok,332.24,338.12,321.45,325.86,260,1545782400
ok,325.86,333.22,325.86,326.84,90,1545868800
ok,325.86,325.86,319.49,320.96,490,1546128000
ok,320.96,323.41,320.96,323.41,50,1546214400
ok,323.41,323.41,313.61,318.51,130,1546300800
ok,318.51,318.51,312.14,312.14,10,1546387200
ok,312.14,312.14,303.81,303.81,250,1546473600
ok,303.81,309.69,303.81,303.81,110,1546732800
ok,296.46,303.81,296.46,301.85,80,1546905600
ok,301.85,307.73,298.91,307.73,50,1546992000
ok,307.73,325.86,307.73,325.86,120,1547078400
ok,325.86,325.86,308.71,308.71,70,1547337600
ok,308.71,314.59,302.83,314.59,170,1547424000
ok,314.59,325.86,309.69,325.86,180,1547510400
ok,325.86,332.73,325.86,326.35,370,1547596800
ok,326.35,326.35,313.61,315.08,340,1547683200
ok,315.08,315.08,309.2,311.16,70,1547942400
ok,311.16,319.98,308.71,313.61,240,1548028800
ok,313.61,319.49,313.12,319.0,60,1548115200
ok,319.0,319.0,302.34,317.04,60,1548201600
ok,317.04,322.43,311.16,314.1,120,1548288000
ok,314.1,314.1,311.16,311.16,160,1548547200
ok,311.16,342.04,311.16,342.04,720,1548633600
ok,342.04,367.52,342.04,357.72,1755,1548720000
ok,357.72,357.72,347.43,348.9,440,1548806400
ok,348.9,364.58,345.47,364.58,965,1548892800
ok,358.21,367.52,353.31,357.72,450,1549152000
ok,350.86,357.72,344.98,347.43,190,1549238400
ok,343.02,352.33,343.02,345.96,520,1549324800
ok,345.47,346.94,345.47,346.94,120,1549411200
ok,349.39,350.37,343.51,350.37,480,1549497600
ok,343.51,350.37,330.76,333.22,520,1549756800
ok,328.31,333.22,326.84,333.22,180,1549843200
ok,339.59,342.53,333.22,333.71,270,1549929600
ok,338.12,340.08,333.71,340.08,20,1550016000
ok,333.71,340.08,325.86,333.71,170,1550102400
ok,335.67,342.04,316.55,318.51,70,1550361600
ok,312.14,318.51,307.73,313.61,110,1550448000
ok,313.61,318.51,313.61,314.1,90,1550534400
ok,314.1,314.1,308.71,311.16,40,1550620800
ok,305.77,314.59,305.28,314.59,150,1550707200
ok,309.69,314.59,295.48,295.48,210,1550966400
ok,294.01,295.48,289.11,295.48,170,1551052800
ok,289.6,295.48,286.17,286.17,70,1551139200
ok,281.76,289.11,281.76,289.11,40,1551225600
ok,294.01,289.11,289.11,289.11,0,1551571200
ok,294.01,301.36,294.01,296.95,277,1551744000
ok,294.01,304.79,294.01,298.91,90,1551830400
ok,301.36,313.12,298.91,313.12,120,1551916800
ok,313.61,313.61,313.12,313.61,10,1552089600
ok,313.61,313.61,313.12,313.61,10,1552176000
ok,309.2,313.61,300.38,302.83,210,1552262400
ok,308.71,332.73,302.83,332.73,70,1552348800
ok,339.1,345.47,327.33,330.76,628,1552435200
ok,324.39,324.39,324.39,324.39,60,1552521600
ok,318.02,323.9,318.02,321.45,160,1552780800
ok,318.51,318.51,312.14,318.02,40,1552867200
ok,318.51,323.41,318.51,323.41,279,1552953600
ok,320.96,321.94,320.96,320.96,720,1553126400
ok,316.06,317.53,316.06,316.06,30,1553472000
ok,310.67,310.67,294.01,299.89,120,1553558400
ok,299.89,298.91,294.01,298.91,80,1553644800
ok,299.89,303.81,294.5,297.93,110,1553731200
ok,294.01,302.34,294.01,295.97,80,1553990400
ok,294.5,302.83,294.01,299.89,160,1554076800
ok,305.77,311.65,299.89,311.65,230,1554163200
ok,306.26,306.26,301.36,301.36,30,1554249600
ok,301.36,307.24,298.42,298.42,90,1554595200
ok,298.42,298.91,294.01,294.01,85,1554681600
ok,294.01,296.46,288.62,291.07,410,1554768000
ok,286.66,289.11,286.17,289.11,80,1554854400
ok,293.52,293.52,284.21,289.11,120,1554940800
ok,283.72,289.11,283.72,284.21,140,1555286400
ok,279.31,287.15,279.31,287.15,180,1555372800
ok,287.15,292.54,287.15,287.64,50,1555459200
ok,282.25,282.25,279.31,279.31,80,1555545600
ok,279.8,279.8,279.31,279.31,40,1555804800
ok,279.31,285.19,279.31,280.78,90,1555891200
ok,275.39,275.39,270.0,270.49,310,1556064000
ok,267.06,267.06,264.61,264.61,220,1556150400
ok,259.71,267.06,259.71,264.61,180,1556409600
ok,259.71,259.71,254.81,254.81,50,1556496000
ok,252.85,254.81,252.85,254.32,80,1556582400
ok,257.26,257.26,252.36,252.85,50,1556755200
ok,249.91,254.81,245.01,245.5,210,1557014400
ok,247.46,249.91,245.01,245.01,110,1557100800
ok,245.01,245.01,236.68,236.68,180,1557187200
ok,235.21,235.21,227.86,235.21,400,1557273600
ok,235.21,235.21,235.21,235.21,10,1557360000
ok,239.13,239.62,232.76,232.76,240,1557619200
ok,230.31,237.66,230.31,237.66,80,1557705600
ok,237.66,237.66,228.84,228.84,40,1557792000
ok,224.43,227.86,224.43,225.9,180,1557878400
ok,223.45,227.86,222.96,227.86,1150,1557964800
ok,223.45,226.39,223.45,226.39,35,1558224000
ok,223.45,246.97,223.45,246.97,200,1558310400
ok,247.46,269.51,247.46,269.51,520,1558396800
ok,274.9,280.29,269.51,269.51,710,1558483200
ok,264.61,267.06,259.71,259.71,250,1558828800
ok,254.81,254.81,254.81,254.81,10,1559088000
ok,249.91,249.91,245.01,245.01,540,1559174400
ok,232.76,235.7,232.76,235.21,50,1559433600
ok,230.8,230.8,228.84,228.84,20,1559520000
ok,224.43,224.43,224.43,224.43,20,1559606400
ok,224.43,224.43,221.0,221.0,40,1559779200
ok,210.71,210.71,206.3,206.79,125,1560211200
ok,203.85,203.85,203.36,203.36,90,1560297600
ok,200.91,204.83,200.91,204.83,20,1560384000
ok,208.75,212.67,208.75,212.67,30,1560643200
ok,208.75,208.75,197.97,203.36,225,1560729600
ok,207.28,211.2,207.28,207.28,40,1560816000
ok,207.77,207.77,202.38,202.38,90,1560902400
ok,198.46,200.91,198.46,200.91,60,1560988800
ok,196.99,196.99,196.01,196.01,40,1561248000
ok,196.01,196.01,196.01,196.01,30,1561334400
ok,193.56,196.01,193.56,196.01,30,1561420800
ok,196.01,202.38,196.01,202.38,80,1561507200
ok,205.81,205.81,198.95,201.89,50,1561593600
ok,197.97,197.97,197.97,197.97,50,1561852800
ok,194.05,197.97,193.07,197.97,90,1561939200
ok,194.05,197.97,192.58,197.97,140,1562025600
ok,201.89,209.73,201.89,206.3,140,1562198400
ok,203.36,209.73,203.36,209.73,120,1562457600
ok,205.81,205.81,205.81,205.81,20,1562544000
ok,201.89,201.89,196.99,196.99,260,1562630400
ok,194.05,194.54,194.05,194.54,30,1562716800
ok,191.6,195.03,191.6,191.6,160,1562803200
ok,188.17,191.11,188.17,191.11,30,1563062400
ok,188.66,189.15,186.7,188.17,220,1563148800
ok,188.17,191.11,187.68,187.68,40,1563235200
ok,188.66,188.66,188.17,188.17,20,1563321600
ok,187.68,192.09,187.68,192.09,30,1563667200
ok,195.52,202.87,195.52,202.87,30,1563753600
ok,202.38,209.24,200.91,209.24,270,1563840000
ok,205.32,205.81,201.89,205.81,60,1563926400
ok,203.36,203.36,201.89,202.87,60,1564012800
ok,202.38,202.87,202.38,202.87,20,1564272000
ok,198.95,208.26,198.95,208.26,130,1564358400
ok,208.26,212.18,205.81,212.18,310,1564444800
ok,216.1,233.25,216.1,233.25,1420,1564531200
ok,237.66,256.28,228.84,256.28,1207,1564617600
ok,261.18,281.76,261.18,281.76,2832,1564876800
ok,287.15,294.01,254.81,254.81,1510,1564963200
ok,249.91,249.91,229.33,229.33,700,1565049600
ok,228.35,233.74,228.35,231.78,310,1565136000
ok,236.19,245.01,236.19,245.01,550,1565222400
ok,244.52,245.01,239.62,245.01,360,1565481600
ok,242.56,249.91,242.56,247.46,160,1565568000
ok,248.93,248.93,244.03,244.52,262,1565654400
ok,240.11,244.52,235.7,235.7,70,1565740800
ok,231.29,232.27,231.29,232.27,50,1565827200
ok,227.86,227.86,227.37,227.37,80,1566086400
ok,222.96,242.07,222.96,242.07,70,1566172800
ok,237.66,247.95,235.21,247.95,110,1566259200
ok,248.93,248.93,235.21,235.21,170,1566345600
ok,239.62,239.62,234.72,234.72,200,1566432000
ok,239.13,242.56,235.7,242.56,400,1566691200
ok,241.09,241.09,240.11,240.11,30,1566777600
ok,240.11,244.52,237.66,244.52,40,1566864000
ok,240.11,240.11,240.11,240.11,20,1566950400
ok,235.7,235.7,231.29,235.7,40,1567036800
ok,231.29,232.76,230.31,230.31,130,1567296000
ok,229.33,229.33,213.16,213.16,190,1567382400
ok,217.08,217.08,213.65,213.65,390,1567468800
ok,213.65,217.57,213.65,217.57,20,1567555200
ok,221.49,221.49,220.51,220.51,20,1567641600
ok,216.1,220.51,216.1,220.51,60,1567900800
ok,216.1,220.02,215.61,220.02,100,1567987200
ok,220.02,220.02,220.02,220.02,10,1568073600
ok,216.1,220.02,216.1,220.02,40,1568160000
ok,216.1,216.1,212.18,212.18,20,1568246400
ok,213.16,217.08,213.16,213.16,200,1568505600
ok,210.71,210.71,204.83,204.83,50,1568592000
ok,200.91,201.4,197.48,201.4,30,1568678400
ok,199.44,207.28,199.44,204.34,150,1568764800
ok,202.38,209.24,202.38,209.24,90,1568851200
ok,205.32,205.32,205.32,205.32,10,1569110400
ok,205.81,209.73,203.85,209.73,70,1569196800
ok,207.77,208.26,207.77,208.26,100,1569283200
ok,205.32,205.81,205.32,205.32,70,1569456000
ok,205.32,205.32,201.89,202.38,30,1569715200
ok,203.36,203.36,202.87,202.87,20,1569801600
ok,202.87,205.81,202.87,205.32,40,1569888000
ok,202.87,206.79,202.87,205.81,100,1569974400
ok,201.89,201.89,201.89,201.89,10,1570665600
ok,201.89,204.34,201.89,204.34,20,1571011200
ok,205.81,208.26,205.81,206.3,40,1571184000
ok,205.32,206.3,202.38,206.3,30,1571270400
ok,202.38,202.87,201.4,202.87,70,1571529600
ok,202.38,202.87,202.38,202.87,20,1571616000
ok,199.93,199.93,196.99,196.99,110,1571788800
ok,199.93,200.91,199.93,200.91,20,1571875200
ok,197.48,197.48,197.48,197.48,50,1572480000
ok,196.01,199.93,196.01,199.93,870,1572739200
ok,196.01,196.99,196.01,196.5,120,1572825600
ok,194.05,197.48,194.05,196.01,60,1572912000
ok,196.01,197.48,196.01,197.48,30,1572998400
ok,197.48,197.97,197.48,197.97,20,1573084800
ok,198.46,206.79,198.46,206.79,200,1573344000
ok,210.22,218.55,206.79,218.55,160,1573430400
ok,220.51,220.51,206.79,216.59,270,1573516800
ok,212.67,212.67,209.24,209.24,250,1573603200
ok,209.24,209.24,205.81,209.24,381,1573689600
ok,206.3,208.26,205.81,205.81,200,1573948800
ok,208.26,208.26,208.26,208.26,20,1574035200
ok,209.73,210.71,209.73,210.71,30,1574121600
ok,208.75,208.75,208.75,208.75,10,1574208000
ok,206.3,206.79,206.3,206.79,30,1574294400
ok,205.81,205.81,205.81,205.81,10,1574553600
ok,209.73,209.73,205.81,205.81,70,1574640000
ok,202.87,203.85,202.87,203.85,50,1574726400
ok,199.93,206.79,199.93,206.79,40,1574812800
ok,210.71,210.71,207.28,210.71,80,1574899200
ok,210.71,214.63,210.22,214.14,1320,1575158400
ok,217.57,217.57,217.57,217.57,10,1575244800
ok,220.51,220.51,220.51,220.51,60,1575331200
ok,223.94,227.86,223.94,227.86,60,1575417600
ok,227.86,227.86,223.45,223.45,160,1575763200
ok,227.86,244.52,224.43,241.09,855,1575849600
ok,240.11,264.61,235.7,264.61,1411,1575936000
ok,269.51,290.09,269.51,271.47,1551,1576022400
ok,276.86,290.09,272.94,284.21,761,1576108800
ok,288.62,288.62,271.47,271.47,230,1576368000
ok,254.81,262.16,252.85,257.26,337,1576454400
ok,254.81,259.71,254.81,254.81,300,1576540800
ok,257.26,257.75,250.4,250.4,240,1576627200
ok,246.48,246.48,245.5,246.48,270,1576713600
ok,242.56,244.03,242.56,243.54,30,1576972800
ok,247.95,267.55,247.95,267.55,940,1577059200
ok,272.45,294.01,272.45,294.01,1700,1577145600
ok,299.89,323.41,298.91,303.81,2962,1577232000
ok,301.85,302.34,291.07,299.89,970,1577318400
ok,296.46,298.91,294.01,294.99,720,1577577600
ok,296.46,296.46,291.61,291.61,70,1577664000
ok,293.77,299.16,293.23,298.62,80,1577750400
ok,293.23,293.23,293.23,293.23,20,1577836800
ok,293.23,302.39,293.23,302.39,50,1577923200
ok,308.32,328.8,308.32,322.34,130,1578182400
ok,316.41,316.41,313.17,316.41,50,1578268800
ok,322.34,343.9,322.34,343.9,600,1578355200
ok,350.37,350.37,334.73,334.73,348,1578441600
ok,328.8,368.15,328.8,368.15,2455,1578528000
ok,375.16,404.27,374.62,398.34,2144,1578787200
ok,398.88,402.11,373.54,388.1,960,1578873600
ok,380.55,380.55,370.31,370.31,690,1578960000
ok,377.32,377.32,370.31,377.32,1260,1579046400
ok,384.86,396.18,377.32,396.18,850,1579132800
ok,403.19,417.74,396.18,417.2,350,1579392000
ok,396.18,396.18,381.09,388.64,275,1579478400
ok,377.32,383.79,366.54,383.79,430,1579564800
ok,382.71,383.79,369.77,369.77,210,1579651200
ok,366.54,369.77,366.54,366.54,550,1579737600
ok,359.53,366.54,355.76,358.45,110,1579996800
ok,355.76,371.93,355.76,371.93,350,1580083200
ok,369.23,388.1,369.23,387.56,939,1580169600
ok,393.49,408.04,390.79,408.04,210,1580256000
ok,415.05,423.13,401.57,415.05,900,1580342400
ok,407.5,425.83,398.88,420.44,580,1580601600
ok,412.35,442.54,406.96,442.54,1489,1580688000
ok,450.09,486.74,439.3,486.74,2316,1580774400
ok,485.12,535.25,477.04,535.25,1898,1580860800
ok,545.49,588.61,523.93,588.61,4516,1580947200
ok,577.3,577.83,544.41,564.9,8775,1581206400
ok,575.68,575.68,523.93,528.78,4386,1581292800
ok,539.02,558.43,538.49,558.43,1340,1581379200
ok,569.21,569.21,544.41,553.04,1045,1581465600
ok,563.28,563.28,541.72,544.41,1950,1581552000
ok,533.63,588.08,533.63,576.22,2256,1581811200
ok,587.54,598.86,560.59,571.37,705,1581897600
ok,560.05,565.98,539.02,565.98,899,1581984000
ok,560.59,603.71,550.34,603.71,700,1582070400
ok,603.71,627.42,581.07,587.54,3785,1582156800
ok,598.86,619.88,598.86,600.47,641,1582416000
ok,600.47,603.71,579.99,579.99,150,1582502400
ok,568.67,592.93,568.67,592.93,1120,1582588800
ok,604.79,616.64,582.15,582.69,980,1582675200
ok,571.37,582.15,565.98,582.15,595,1582761600
ok,582.15,571.9,539.02,544.41,1773,1583020800
ok,555.2,555.2,526.09,526.09,255,1583107200
ok,526.09,546.57,515.85,546.57,150,1583193600
ok,535.79,535.79,535.79,535.79,40,1583280000
ok,525.55,525.55,489.97,523.93,2105,1583366400
ok,534.17,544.41,503.45,522.85,230,1583884800
ok,512.61,512.61,482.97,500.21,490,1583971200
ok,509.92,509.92,450.62,450.62,270,1584230400
ok,459.25,468.41,433.91,458.17,570,1584316800
ok,449.01,465.72,412.35,430.68,890,1584403200
ok,422.6,422.6,404.81,404.81,285,1584489600
ok,396.72,409.66,396.72,406.42,1120,1584576000
ok,413.97,422.6,413.97,422.6,30,1584835200
ok,414.51,414.51,414.51,420.44,60,1593388800
ok,428.52,428.52,428.52,428.52,10,1593475200
ok,436.61,436.61,436.61,436.61,10,1593561600
ok,445.23,445.23,436.61,436.61,20,1593648000
ok,436.07,445.23,431.22,445.23,200,1593907200
ok,453.86,462.48,453.32,458.17,275,1593993600
ok,467.33,495.36,449.01,495.36,960,1594080000
ok,503.45,503.45,485.66,485.66,130,1594166400
ok,495.36,495.36,485.66,485.66,20,1594252800
ok,495.36,505.6,486.2,486.2,470,1594512000
ok,495.9,495.9,478.65,482.43,270,1594598400
ok,491.59,509.92,478.65,492.13,600,1594684800
ok,501.83,506.68,496.98,496.98,70,1594771200
ok,487.82,487.82,478.65,482.97,200,1594857600
ok,506.68,526.63,477.58,486.74,185,1595203200
ok,496.44,496.44,463.56,468.95,365,1595289600
ok,468.95,486.74,451.16,451.16,570,1595376000
ok,459.79,478.11,452.78,463.56,390,1595462400
ok,472.72,498.6,463.02,498.6,884,1595721600
ok,488.9,488.9,473.8,479.19,500,1595808000
ok,474.88,482.97,467.87,477.04,650,1595894400
ok,467.87,483.5,458.17,468.95,380,1595980800
ok,463.56,463.56,447.39,455.48,709,1596067200
ok,464.1,464.1,447.39,447.39,120,1596326400
ok,438.77,445.23,430.14,445.23,375,1596412800
ok,453.86,453.86,427.45,439.84,520,1596585600
ok,437.15,444.7,421.52,444.7,490,1596672000
ok,450.09,458.71,433.38,458.71,160,1596931200
ok,449.55,458.17,441.46,454.4,999,1597017600
ok,463.02,471.65,447.93,466.26,875,1597104000
ok,475.42,484.58,450.62,470.03,319,1597190400
ok,460.87,470.03,452.78,461.4,305,1597276800
ok,461.4,461.4,443.62,449.01,230,1597536000
ok,457.63,478.65,449.55,478.65,380,1597622400
ok,471.65,471.65,463.56,469.49,250,1597708800
ok,464.1,472.72,454.94,472.72,90,1597795200
ok,463.56,479.73,463.56,479.73,40,1597881600
ok,470.57,475.42,462.48,475.42,440,1598140800
ok,482.43,482.43,458.17,482.43,1270,1598227200
ok,487.82,490.51,468.95,476.5,990,1598313600
ok,477.04,485.66,468.95,479.73,889,1598400000
ok,488.36,488.36,471.65,474.34,247,1598486400
ok,474.34,468.95,466.26,466.8,203,1598745600
ok,463.56,471.11,463.56,463.56,1840,1598832000
ok,471.65,472.72,466.26,470.57,405,1599004800
ok,461.4,466.26,458.71,464.64,260,1599091200
ok,458.17,468.41,458.17,468.41,455,1599350400
ok,459.25,466.8,452.78,466.8,315,1599436800
ok,463.56,463.56,458.17,459.79,100,1599523200
ok,457.09,482.97,457.09,482.97,640,1599609600
ok,492.13,498.6,484.58,491.59,1480,1599696000
ok,501.29,501.29,477.04,485.12,467,1599955200
ok,493.21,493.21,468.95,478.11,624,1600041600
ok,477.58,477.58,461.4,464.64,1106,1600128000
ok,473.8,473.8,458.17,466.8,972,1600214400
ok,458.17,482.97,458.17,471.65,856,1600300800
ok,462.48,478.65,462.48,478.65,295,1600560000
ok,469.49,474.34,469.49,473.26,514,1600646400
ok,464.1,473.26,457.09,463.02,781,1600732800
ok,457.09,461.94,454.4,461.94,335,1600819200
ok,453.86,461.94,455.48,456.01,842,1600905600
ok,453.32,453.86,452.78,453.32,355,1601164800
ok,452.78,476.5,448.47,476.5,387,1601251200
ok,467.33,467.33,455.48,459.25,401,1601337600
ok,455.48,459.25,447.93,458.17,676,1601424000
ok,449.55,466.26,449.55,466.26,401,1601510400
ok,457.09,460.87,453.32,460.87,606,1601769600
ok,458.17,458.17,445.23,445.23,1247,1601856000
ok,453.86,453.86,446.31,447.93,561,1601942400
ok,439.84,450.09,439.84,447.39,1122,1602028800
ok,439.84,446.85,439.84,443.08,556,1602115200
ok,438.23,439.3,437.15,439.3,76,1602374400
ok,432.3,442.0,432.3,438.23,486,1602460800
ok,437.15,439.84,437.15,438.23,771,1602547200
ok,437.69,439.3,432.3,432.3,348,1602633600
ok,430.68,437.69,430.68,433.38,203,1602720000
ok,425.83,442.0,425.83,442.0,333,1602979200
ok,450.62,458.17,446.85,454.94,185,1603065600
ok,452.78,463.56,452.78,463.56,292,1603152000
ok,454.4,458.17,454.4,456.01,101,1603238400
ok,456.01,456.55,447.39,449.55,283,1603324800
ok,458.17,458.17,449.55,458.17,281,1603843200
ok,452.78,455.48,451.7,451.7,274,1603929600
ok,452.78,458.17,452.78,458.17,875,1604188800
ok,467.33,468.95,458.17,466.26,1833,1604275200
ok,468.95,483.5,468.95,472.72,851,1604361600
ok,463.56,471.65,463.56,471.65,118,1604448000
ok,463.56,466.26,463.56,463.56,471,1604534400
ok,454.4,466.26,454.4,466.26,329,1604793600
ok,465.72,473.26,460.87,473.26,259,1604880000
ok,496.44,496.44,472.19,472.19,1153,1604966400
ok,475.96,486.74,472.19,479.73,2931,1605052800
ok,474.34,480.27,471.11,471.11,660,1605139200
ok,477.04,480.27,475.96,475.96,492,1605657600
ok,468.95,494.82,468.95,485.12,1533,1605744000
ok,479.73,486.2,475.96,475.96,1569,1606003200
ok,468.95,476.5,468.95,472.19,490,1606089600
ok,464.1,484.04,464.1,474.34,650,1606176000
ok,466.26,493.21,466.26,488.36,1302,1606262400
ok,495.9,505.6,482.43,487.82,1568,1606348800
ok,487.82,506.68,482.43,506.68,1484,1606608000
ok,506.68,517.46,506.68,514.77,1176,1606694400
ok,514.77,517.46,506.68,515.85,1588,1606780800
ok,520.16,567.05,520.16,567.05,3005,1606867200
ok,578.37,592.93,546.57,568.13,1594,1606953600
ok,556.81,556.81,513.15,513.15,1474,1607212800
ok,520.16,549.27,506.68,549.27,1265,1607299200
ok,549.8,555.2,506.68,525.55,1203,1607385600
ok,525.01,525.01,512.07,522.31,808,1607472000
ok,515.31,522.85,512.07,521.24,1081,1607558400
ok,520.16,528.24,520.16,525.55,180,1607817600
ok,528.78,577.83,528.78,577.83,2939,1607904000
ok,589.15,635.51,589.15,608.02,3362,1607990400
ok,619.88,619.88,592.93,592.93,741,1608076800
ok,604.79,617.18,592.93,598.32,2547,1608163200
ok,590.23,590.23,557.89,557.89,1967,1608422400
ok,547.11,560.59,526.09,560.59,2040,1608508800
ok,560.59,571.37,557.89,557.89,552,1608595200
ok,568.67,599.93,563.28,568.67,1655,1608681600
ok,557.35,563.28,557.35,563.28,1265,1608768000
ok,552.5,552.5,544.41,544.41,772,1609027200
ok,533.63,556.27,518.0,556.27,873,1609113600
ok,557.89,569.75,547.11,559.51,1967,1609200000
ok,551.42,565.44,551.42,565.44,205,1609286400
ok,556.81,560.59,556.81,559.51,377,1609372800
ok,555.73,592.39,555.73,582.15,570,1609632000
ok,592.39,593.47,582.15,583.22,1408,1609718400
ok,576.76,586.46,576.76,582.15,1475,1609804800
ok,576.76,633.35,576.76,633.35,4461,1609891200
ok,645.75,658.69,645.21,658.15,3705,1609977600
ok,668.39,668.39,644.67,646.83,1602,1610236800
ok,652.22,652.22,624.19,630.66,720,1610323200
ok,619.88,676.48,619.88,676.48,1790,1610409600
ok,676.48,684.56,652.76,684.02,2083,1610496000
